t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176630.552709	1687187202.137324	11.465871	-24.069308	-0.874542	0.238520	0.238340	0.213975	-0.013191	0.001928	0.453098	0.224007	0.219210	0.219179	
 1687176630.857422	1687187202.456721	11.521786	-24.070719	-0.860287	0.236409	0.236046	0.212553	-0.022232	-0.004250	0.441474	0.232823	0.214596	0.217827	
 1687176631.160878	1687187202.750476	11.588707	-24.068399	-0.854270	0.236227	0.236208	0.212273	-0.018024	-0.005090	0.423527	0.259774	0.214138	0.217948	
 1687176631.465189	1687187203.061071	11.656697	-24.058900	-0.843347	0.231399	0.231351	0.209019	-0.018137	-0.002181	0.423791	0.238737	0.211324	0.214777	
 1687176631.772436	1687187203.361257	11.717480	-24.057630	-0.844128	0.237813	0.237773	0.213158	-0.028616	-0.003965	0.389057	0.246158	0.214802	0.218976	
 1687176632.078979	1687187203.671237	11.791058	-24.059713	-0.841591	0.237554	0.237546	0.213077	-0.016681	-0.008582	0.404742	0.293752	0.214818	0.218955	
 1687176632.381797	1687187203.973267	11.871433	-24.053912	-0.858186	0.236566	0.236579	0.212244	-0.006357	-0.007132	0.420638	0.241089	0.217225	0.218174	
 1687176632.684896	1687187204.275083	11.945858	-24.054279	-0.853152	0.233937	0.233954	0.210651	-0.008390	-0.005403	0.410202	0.217720	0.215266	0.216502	
 1687176632.990737	1687187204.580935	12.024727	-24.079238	-0.852604	0.234442	0.234477	0.211313	-0.007962	-0.007127	0.408305	0.220543	0.214204	0.217202	
 1687176633.296811	1687187204.872785	12.098681	-24.115847	-0.860005	0.236397	0.236400	0.212391	-0.003489	-0.005459	0.419024	0.221173	0.216658	0.218209	
 1687176633.601271	1687187205.201449	12.158563	-24.143880	-0.862152	0.235294	0.235290	0.211457	-0.000929	0.003090	0.417697	0.216026	0.214742	0.217289	
 1687176633.905502	1687187205.512408	12.213592	-24.172098	-0.854239	0.234598	0.234610	0.211051	-0.007427	-0.012358	0.396323	0.215100	0.213347	0.216984	
 1687176634.209239	1687187205.807480	12.271236	-24.206285	-0.848100	0.235283	0.235273	0.211855	-0.011217	-0.010803	0.405693	0.218577	0.219269	0.217839	
