t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526364.114441	1687526364.075349	13.535275	-25.229420	-0.884511	0.296068	0.296269	0.244164	-0.036904	-0.012125	1.268030	0.436875	0.303443	0.251779	0.015813	0.011274	-0.592363	0.805437	
 1687526364.519856	1687526364.478216	13.529593	-25.255362	-0.875812	0.296955	0.297124	0.244957	-0.043333	-0.021814	1.245126	0.398134	0.262160	0.252627	0.021491	0.011241	-0.583140	0.812010	
 1687526364.926510	1687526364.881513	13.546998	-25.278446	-0.881618	0.293431	0.293642	0.243567	-0.032983	-0.023054	1.244045	0.425332	0.281362	0.251126	0.018975	0.006686	-0.582717	0.812426	
 1687526365.330718	1687526365.288787	13.528555	-25.287192	-0.883355	0.298884	0.299022	0.245956	-0.052492	-0.016823	1.145141	0.358989	0.284373	0.253756	0.021285	0.017501	-0.541774	0.840072	
 1687526365.734197	1687526365.692034	13.547299	-25.290580	-0.901006	0.297045	0.297001	0.244925	-0.034947	-0.015504	1.168001	0.485442	0.276989	0.252740	0.016100	0.010303	-0.551378	0.834037	
 1687526366.144685	1687526366.095149	13.547337	-25.286633	-0.891883	0.291515	0.291477	0.242775	-0.093731	-0.031785	1.057972	0.348485	0.263600	0.250304	0.037344	0.032429	-0.504683	0.861887	
 1687526366.555268	1687526366.499973	13.560657	-25.308902	-0.904043	0.298225	0.298642	0.246794	-0.069009	-0.019428	1.041179	0.755069	0.330051	0.254035	0.025580	0.025098	-0.497363	0.866802	
 1687526366.959729	1687526366.902855	13.588919	-25.362567	-0.920912	0.291579	0.291797	0.242828	-0.018677	-0.021218	1.037263	0.537405	0.283382	0.250172	0.013842	0.002851	-0.495729	0.868362	
 1687526367.366324	1687526367.307933	13.613354	-25.428593	-0.922526	0.298806	0.299445	0.246683	-0.035215	-0.031612	1.002220	0.285166	0.274992	0.253853	0.022317	0.007848	-0.480509	0.876671	
 1687526367.769479	1687526367.711281	13.650867	-25.474259	-0.936900	0.299285	0.299749	0.246381	-0.042607	-0.030002	1.023516	0.355060	0.314707	0.253979	0.023506	0.011226	-0.489823	0.871432	
 1687526368.174658	1687526368.114517	13.672180	-25.513589	-0.951764	0.289094	0.289360	0.241545	-0.045217	-0.029518	1.011582	0.374319	0.300588	0.249082	0.023859	0.012625	-0.484615	0.874311	
 1687526368.579705	1687526368.519235	13.702718	-25.568669	-0.959892	0.301796	0.301969	0.246865	-0.046945	-0.031459	1.023258	0.396365	0.308057	0.254695	0.025201	0.012764	-0.489725	0.871419	
 1687526368.987303	1687526368.921681	13.731304	-25.612708	-0.966665	0.297938	0.298077	0.245469	-0.034697	-0.030888	1.010048	0.406089	0.312861	0.253206	0.021906	0.007709	-0.483932	0.874797	
